,0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.09375
15,0.09375
16,0.375
17,0.78125
18,0.75
19,0.90625
20,0.75
21,0.84375
22,0.9375
23,0.90625
24,0.625
25,1.0
26,0.4375
27,0.78125
28,0.8125
29,0.8125
30,0.6875
31,0.71875
32,0.71875
33,0.6875
34,0.46875
35,0.65625
36,0.6875
37,0.59375
38,0.8125
39,0.65625
40,0.6875
41,0.84375
42,0.9375
43,0.90625
44,0.90625
45,0.96875
46,1.0
47,0.96875
48,0.9375
49,0.96875
50,0.875
51,0.90625
52,0.90625
53,0.90625
54,0.78125
55,0.9375
56,1.0
57,0.84375
58,0.9375
59,0.90625
60,0.65625
61,0.875
62,0.90625
63,0.90625
64,0.65625
65,0.6875
66,0.96875
67,0.875
68,0.84375
69,1.0
70,0.90625
71,0.8125
72,0.8125
73,0.84375
74,0.90625
75,0.84375
76,0.96875
77,1.0
78,0.875
79,0.96875
80,0.96875
81,0.96875
82,1.0
83,0.875
84,0.9375
85,0.96875
86,0.90625
87,0.84375
88,0.96875
89,0.875
90,0.90625
91,0.78125
92,0.78125
93,0.875
94,0.90625
95,0.96875
96,0.875
97,0.96875
98,0.65625
99,0.8125
100,0.78125
101,0.96875
102,0.90625
103,0.9375
104,0.9375
105,0.90625
106,0.875
107,0.96875
108,0.71875
109,0.90625
110,0.90625
111,0.90625
112,0.875
113,0.96875
114,0.9375
115,0.9375
116,0.875
117,0.78125
118,0.9375
119,0.8125
120,0.90625
121,0.84375
122,0.78125
123,0.9375
124,0.71875
125,0.75
126,0.75
127,0.875
128,0.875
129,0.75
130,0.78125
131,0.84375
132,0.84375
133,0.875
134,0.78125
135,0.59375
136,0.875
137,0.90625
138,0.8125
139,0.78125
140,0.875
141,0.875
142,0.96875
143,0.96875
144,1.0
145,0.90625
146,0.9375
147,0.8125
148,0.71875
149,0.84375
150,0.90625
151,0.875
152,0.84375
153,0.84375
154,1.0
155,0.8125
156,0.9375
157,0.78125
158,0.875
159,0.84375
160,0.8125
161,0.9375
162,0.84375
163,0.84375
164,0.9375
165,0.8125
166,0.875
167,0.84375
168,0.9375
169,0.90625
170,0.90625
171,0.9375
172,0.9375
173,0.875
174,0.9375
175,0.9375
176,1.0
177,0.9375
178,0.96875
179,0.96875
180,1.0
181,1.0
182,0.9375
183,0.96875
184,0.84375
185,0.9375
186,0.9375
187,0.96875
188,0.96875
189,0.90625
190,0.875
191,0.96875
192,0.875
193,1.0
194,0.9375
195,0.96875
196,0.90625
197,0.96875
198,1.0
199,1.0
200,0.9375
201,0.8125
202,0.9375
203,0.90625
204,0.9375
205,0.90625
206,0.84375
207,0.9375
208,0.84375
209,0.75
210,0.90625
211,0.875
212,0.96875
213,0.78125
214,0.78125
215,0.8125
216,0.875
217,0.8125
218,0.8125
219,0.78125
220,0.90625
221,0.9375
222,0.9375
223,0.8125
224,0.90625
225,0.90625
226,0.875
227,0.875
228,0.875
229,0.9375
230,0.90625
231,0.90625
232,0.96875
233,0.96875
234,0.8125
235,0.875
236,0.90625
237,0.75
238,0.875
239,0.9375
240,0.90625
241,0.96875
242,0.78125
243,0.96875
244,0.96875
245,0.90625
246,0.9375
247,0.875
248,0.9375
249,0.96875
250,1.0
251,0.9375
252,0.96875
253,0.96875
254,0.96875
255,0.9375
256,0.96875
257,0.875
258,0.96875
259,0.8125
260,0.9375
261,0.9375
262,0.90625
263,0.875
264,0.96875
265,1.0
266,0.90625
267,1.0
268,1.0
269,0.9375
270,0.9375
271,1.0
272,0.9375
273,0.9375
274,0.9375
275,1.0
276,1.0
277,0.9375
278,0.96875
279,1.0
280,0.875
281,0.90625
282,0.875
283,0.90625
